ax,ay,az,gx,gy,gz,sequence_id
0.67,0.08,9.88,0.12,0.04,-0.03,2
0.8,0.2,9.43,0.05,0.12,-0.06,2
0.71,0.19,9.08,0.02,0.0,-0.07,2
1.03,0.27,9.15,0.04,0.02,-0.08,2
0.84,0.22,9.03,0.02,0.06,-0.06,2
0.45,0.22,9.17,0.05,0.16,-0.14,2
0.74,0.45,9.43,0.06,0.0,-0.04,2
0.86,0.44,9.32,0.06,-0.02,-0.02,2
0.73,0.34,9.22,0.01,-0.02,-0.01,2
0.7,0.3,8.95,0.07,-0.02,-0.07,2
0.78,0.45,9.05,0.09,0.03,-0.07,2
0.74,0.54,9.47,0.1,0.01,-0.04,2
0.73,0.54,9.49,0.06,0.06,-0.04,2
0.37,0.53,10.04,0.02,0.08,-0.05,2
0.87,0.31,10.3,-0.21,0.83,-0.3,2
2.58,0.25,11.65,-0.21,1.18,-0.22,2
2.32,0.93,15.17,-0.47,1.17,-0.01,2
2.46,1.32,15.95,-1.7,2.47,-0.02,2
1.88,2.28,14.23,-2.6,2.69,-0.03,2
1.74,3.1,13.24,-3.19,2.49,0.09,2
2.21,3.94,12.25,-4.02,2.19,0.54,2
-1.36,3.78,7.93,-4.65,1.84,1.18,2
-5.15,3.31,6.33,-4.9,1.84,1.05,2
-5.87,3.78,-0.19,-5.81,2.24,0.49,2
-7.35,2.94,-4.69,-5.69,2.83,-0.02,2
-5.85,1.12,-11.38,-4.83,1.97,-0.27,2
-5.57,-2.12,-16.99,-2.92,1.09,-0.22,2
-5.11,-3.18,-13.23,-1.11,-0.17,0.0,2
-7.42,-5.36,-16.49,-0.66,1.03,-0.24,2
-5.38,-5.15,-11.31,0.89,-0.58,0.07,2
-6.19,-5.27,-4.54,1.05,-0.68,-0.06,2
-4.87,-4.93,-3.64,0.41,0.16,0.14,2
-7.63,-5.9,-4.05,0.44,-0.1,0.14,2
-5.95,-5.72,-3.7,0.31,0.06,-0.12,2
-6.45,-6.02,-3.38,0.16,-0.03,0.02,2
0.83,-0.04,9.11,0.0,0.22,-0.04,3
1.15,0.06,9.26,0.03,0.12,-0.06,3
1.29,0.2,9.28,0.05,-0.0,0.04,3
1.05,0.13,9.22,0.02,0.03,0.02,3
1.43,0.15,9.29,0.05,0.03,0.01,3
1.32,0.18,9.43,0.01,0.02,0.03,3
1.27,0.17,9.23,0.01,0.02,0.05,3
0.89,0.18,8.89,0.09,0.04,0.01,3
1.12,0.24,9.49,0.1,0.0,0.05,3
1.1,0.3,9.56,0.08,-0.03,-0.04,3
1.02,0.27,9.29,-0.03,0.07,-0.01,3
1.26,0.37,9.42,-0.01,-0.01,0.02,3
1.24,0.31,9.07,-0.04,0.07,0.05,3
1.14,0.3,9.28,0.0,0.04,0.04,3
1.09,0.23,9.21,-0.01,0.03,0.08,3
0.87,0.2,8.98,-0.01,0.06,0.06,3
0.68,0.24,9.03,0.05,0.0,0.04,3
0.84,0.2,9.2,0.03,0.01,0.03,3
0.16,0.16,9.03,0.07,0.04,-0.04,3
0.59,0.36,9.78,0.14,-0.04,-0.1,3
0.78,0.19,10.61,0.03,-0.02,-0.08,3
1.33,0.24,10.99,-0.04,0.03,-0.2,3
2.06,0.35,12.79,-0.23,0.46,-0.3,3
3.9,1.03,15.68,-1.13,1.73,-0.62,3
5.05,2.12,15.78,-2.16,2.34,-0.48,3
4.91,3.01,16.58,-3.3,3.1,-0.51,3
3.34,2.9,12.84,-4.25,2.62,0.19,3
-0.55,2.28,9.35,-4.87,2.46,0.39,3
-2.23,1.92,6.4,-5.16,2.33,0.17,3
-2.57,1.69,1.6,-5.43,2.06,0.1,3
-3.38,1.91,-1.49,-5.61,2.69,-0.18,3
-4.9,0.45,-8.34,-5.22,1.9,-0.21,3
-5.44,-1.65,-13.82,-3.83,1.24,-0.22,3
-4.58,-3.83,-15.82,-1.75,-0.42,-0.06,3
-4.68,-4.73,-13.75,-0.68,-0.48,0.14,3
-4.99,-5.62,-10.05,-0.06,-0.05,0.01,3
-3.93,-5.83,-7.85,0.17,-0.39,0.32,3
-6.54,-6.75,-6.94,0.25,-0.08,0.29,3
1.29,0.01,8.62,0.02,0.13,0.06,4
1.45,0.05,8.85,0.09,0.15,0.0,4
1.58,0.16,9.21,0.11,0.19,0.02,4
1.23,0.12,9.48,0.13,0.19,0.05,4
1.09,0.12,9.99,0.06,0.12,-0.0,4
1.07,0.1,9.69,-0.02,0.06,-0.01,4
1.22,0.16,9.5,-0.02,0.07,-0.1,4
1.24,0.21,9.32,-0.04,0.07,-0.05,4
1.12,0.22,8.92,-0.07,0.17,-0.12,4
1.02,0.14,8.83,0.02,0.2,-0.14,4
0.96,0.29,9.17,0.04,0.11,-0.16,4
0.81,0.33,9.39,0.01,0.13,-0.18,4
0.24,0.15,9.15,-0.08,0.18,-0.33,4
1.33,0.33,9.34,-0.02,0.19,-0.33,4
1.04,0.31,9.32,0.04,0.04,-0.08,4
1.05,0.33,9.29,0.01,0.05,-0.01,4
0.86,0.29,9.3,0.01,0.01,0.01,4
1.33,0.31,8.97,0.01,0.06,0.05,4
0.46,0.28,9.25,0.07,0.01,0.1,4
0.62,0.27,9.23,-0.04,0.05,0.05,4
0.27,0.18,8.49,0.06,0.04,0.04,4
0.33,0.32,9.15,0.15,0.02,-0.04,4
0.42,0.4,9.37,0.13,0.06,-0.05,4
0.53,0.17,9.41,0.22,0.03,-0.11,4
0.73,0.27,11.34,0.16,0.22,-0.24,4
2.55,0.3,12.93,-0.07,0.52,-0.48,4
5.02,1.95,17.88,-0.87,1.52,-0.53,4
4.7,2.98,17.56,-2.5,2.44,-0.34,4
4.22,3.46,13.5,-3.4,3.13,0.04,4
2.21,3.45,11.25,-4.12,3.0,0.37,4
0.96,3.27,7.61,-4.24,2.21,0.8,4
-1.1,2.95,4.83,-4.57,2.25,1.2,4
-4.69,1.97,1.75,-4.8,2.25,1.08,4
-6.59,-0.35,-2.91,-4.58,1.62,0.88,4
-10.03,-2.15,-8.3,-3.74,1.36,0.25,4
-8.36,-2.59,-10.55,-2.61,0.69,0.03,4
-8.12,-3.11,-9.12,-1.78,0.62,-0.3,4
-5.43,-4.0,-9.82,-1.18,0.58,-0.05,4
-6.3,-5.41,-8.34,-0.36,-0.14,0.43,4
-7.3,-5.95,-5.81,-0.06,0.08,0.23,4
1.18,-0.41,9.13,0.11,-0.02,-0.11,5
1.26,-0.31,9.44,0.06,0.01,-0.07,5
1.51,-0.2,9.22,0.04,0.04,-0.05,5
1.38,-0.21,9.36,0.05,0.01,0.05,5
1.18,-0.3,9.25,0.02,0.03,0.07,5
0.99,-0.3,9.35,0.02,0.01,0.06,5
0.69,-0.39,9.29,0.0,0.01,0.04,5
0.9,-0.44,9.23,-0.01,0.04,-0.02,5
0.75,-0.35,9.0,0.01,0.02,-0.07,5
1.21,-0.17,9.32,0.05,-0.02,-0.06,5
1.04,-0.2,9.07,0.02,-0.0,-0.03,5
1.22,-0.11,9.2,0.04,0.03,-0.07,5
1.28,-0.11,9.39,0.02,0.01,-0.01,5
1.15,-0.23,9.52,0.01,0.03,-0.02,5
1.42,-0.26,9.58,0.01,0.06,-0.04,5
3.15,0.55,10.68,-0.2,0.56,-0.28,5
5.28,0.92,12.23,-0.39,1.08,0.13,5
3.66,0.74,14.05,-0.93,1.09,0.7,5
3.28,0.87,13.31,-1.7,1.61,0.84,5
2.12,1.0,12.38,-2.42,2.52,0.97,5
-0.79,0.06,10.62,-2.92,2.62,0.89,5
-0.84,0.68,10.93,-3.42,2.56,0.58,5
-2.44,1.3,8.38,-4.27,2.29,0.83,5
-4.26,1.31,4.33,-4.91,2.66,0.49,5
-4.21,1.25,0.05,-5.02,2.49,0.35,5
-5.98,0.2,-4.81,-5.09,2.35,0.23,5
-8.28,-2.42,-13.9,-3.81,1.66,-0.06,5
-7.09,-4.22,-13.33,-1.51,0.16,-0.39,5
-5.2,-4.57,-9.54,-0.46,-0.39,-0.21,5
-5.08,-5.29,-7.04,-0.4,0.1,0.06,5
-7.46,-6.75,-8.22,-0.01,-0.0,0.02,5
1.06,-0.39,9.15,-0.09,0.19,0.15,6
0.83,-0.5,8.9,-0.03,0.13,0.24,6
0.4,-0.55,9.29,0.03,0.12,0.24,6
-0.01,-0.6,9.35,-0.02,0.11,0.15,6
0.21,-0.65,9.0,0.01,0.05,0.03,6
0.21,-0.5,9.11,0.09,-0.04,-0.01,6
0.53,-0.34,9.52,0.03,-0.02,0.0,6
0.46,-0.34,9.21,0.01,0.02,-0.05,6
0.69,-0.38,9.44,-0.03,0.03,-0.02,6
0.31,-0.39,9.07,-0.01,0.0,0.0,6
0.47,-0.4,9.22,0.01,-0.01,-0.03,6
0.55,-0.39,9.22,0.02,-0.03,-0.0,6
0.45,-0.34,9.25,0.02,-0.02,-0.01,6
0.59,-0.37,9.32,-0.01,-0.01,-0.01,6
0.59,-0.29,9.24,0.04,0.04,-0.04,6
0.59,-0.38,9.24,0.03,0.02,-0.0,6
0.42,-0.29,9.2,0.04,0.02,0.01,6
0.45,-0.29,9.26,0.06,0.07,-0.03,6
0.46,-0.19,9.29,0.03,0.04,-0.01,6
0.38,-0.28,9.23,0.05,0.1,-0.04,6
0.18,-0.24,9.24,0.05,0.08,-0.05,6
0.01,-0.12,9.58,0.04,0.41,-0.26,6
2.14,-0.04,10.57,-0.29,1.26,-0.45,6
4.29,0.59,10.82,0.3,0.97,-0.12,6
5.19,1.62,18.48,-0.24,0.47,0.65,6
4.09,2.54,17.37,-1.87,1.49,0.87,6
2.77,2.46,13.29,-3.01,2.87,0.88,6
0.73,3.55,12.43,-3.52,2.71,1.04,6
-0.95,4.55,9.32,-4.42,2.42,1.1,6
-1.64,4.86,4.58,-5.12,2.7,1.19,6
-7.6,1.98,-3.71,-5.22,2.32,1.24,6
0.49,-0.02,9.28,-0.1,0.08,0.23,7
0.9,-0.07,9.1,-0.05,-0.05,0.2,7
0.95,-0.03,8.93,-0.02,-0.02,0.28,7
0.68,-0.01,9.08,-0.04,0.24,0.28,7
-0.18,-0.25,9.16,-0.05,0.19,0.21,7
-0.17,-0.37,8.85,0.02,0.09,0.01,7
0.33,-0.22,9.03,0.1,0.01,-0.05,7
0.18,-0.06,9.29,0.17,-0.09,-0.11,7
0.6,0.14,9.32,0.08,0.06,-0.18,7
0.85,0.19,9.06,0.09,0.04,-0.15,7
1.01,0.29,9.53,0.1,-0.02,-0.08,7
0.87,0.45,9.93,0.06,-0.07,0.02,7
0.94,0.22,9.42,-0.06,0.04,0.03,7
0.29,0.19,9.4,0.04,-0.0,-0.09,7
0.32,0.25,9.27,0.02,-0.04,-0.06,7
0.9,0.23,9.11,0.03,0.0,-0.1,7
0.34,0.28,9.22,0.07,0.02,-0.09,7
0.64,0.27,9.22,0.13,0.2,-0.22,7
0.87,0.48,9.7,0.09,0.24,-0.22,7
0.99,0.56,9.19,0.05,0.29,-0.23,7
1.24,0.49,10.2,0.11,0.63,-0.24,7
1.16,0.78,13.04,-0.06,0.87,-0.39,7
2.41,1.33,15.2,-0.74,1.23,-0.38,7
3.04,2.15,16.69,-1.83,2.05,-0.29,7
2.39,2.38,14.66,-2.83,2.21,-0.08,7
1.37,2.72,13.55,-3.51,1.9,0.3,7
-0.19,2.59,10.68,-4.12,1.7,0.59,7
-1.09,2.78,8.28,-4.93,1.89,0.88,7
-4.78,1.45,1.7,-5.12,2.21,0.83,7
-4.06,0.94,-0.55,-5.17,3.24,0.05,7
-5.45,-0.54,-6.57,-4.38,2.47,-0.12,7
-5.59,-1.46,-7.54,-3.15,0.48,-0.16,7
-5.34,-3.06,-11.59,-2.57,0.21,0.19,7
-6.73,-4.62,-12.73,-1.3,-0.55,0.14,7
0.83,-0.67,9.17,-0.1,0.17,0.03,8
0.58,-0.54,8.7,0.13,0.04,-0.03,8
0.62,-0.53,9.59,0.09,0.08,0.02,8
0.46,-0.54,8.97,0.05,0.1,-0.09,8
0.92,-0.44,9.51,0.08,0.18,-0.1,8
0.98,-0.51,9.31,-0.02,-0.06,-0.04,8
0.69,-0.46,9.13,-0.03,-0.0,-0.05,8
0.97,-0.41,9.28,-0.02,-0.01,0.04,8
0.42,-0.57,8.95,-0.01,-0.03,-0.01,8
0.92,-0.43,9.29,0.06,-0.01,-0.01,8
0.39,-0.58,9.39,-0.01,-0.03,-0.0,8
0.84,-0.48,9.25,0.04,0.02,-0.08,8
0.86,-0.36,9.59,-0.0,-0.06,-0.02,8
1.02,-0.34,9.18,-0.02,0.01,-0.02,8
0.82,-0.45,9.38,-0.03,-0.03,0.06,8
0.69,-0.5,8.99,-0.02,0.06,-0.01,8
0.87,-0.4,9.42,0.0,-0.01,0.03,8
0.65,-0.49,9.02,-0.04,0.04,0.03,8
0.61,-0.55,9.41,-0.01,0.01,0.01,8
0.46,-0.67,9.19,0.0,0.01,-0.03,8
0.6,-0.76,9.62,0.05,-0.08,-0.11,8
1.55,-0.43,10.28,0.12,0.0,-0.34,8
2.55,0.16,11.65,-0.08,0.86,-0.43,8
2.62,0.44,14.71,-0.3,1.23,-0.57,8
3.95,1.24,15.17,-1.32,1.72,-0.65,8
5.06,2.53,13.64,-2.55,3.23,-0.49,8
3.44,2.72,12.74,-3.22,2.58,0.18,8
1.31,2.32,9.77,-3.58,1.82,0.84,8
-2.9,0.99,8.23,-4.24,1.59,1.26,8
-7.09,0.0,3.99,-4.73,1.88,0.74,8
-5.61,0.7,1.36,-5.26,2.04,0.09,8
-7.24,-0.37,-6.33,-5.03,1.66,0.16,8
-7.13,-2.84,-12.04,-3.61,0.78,0.12,8
-6.36,-4.74,-12.78,-1.71,-0.37,0.17,8
-6.58,-5.8,-9.45,-0.65,-0.29,0.15,8
-6.07,-6.6,-7.99,-0.09,-0.21,0.13,8
2.16,-0.05,8.41,-0.17,0.1,0.08,9
1.41,-0.23,9.25,-0.1,0.13,0.0,9
1.65,-0.12,8.07,-0.03,0.12,-0.05,9
1.26,-0.02,9.67,0.04,0.04,-0.07,9
2.02,-0.05,9.01,-0.14,0.13,-0.01,9
1.04,-0.31,9.17,-0.03,0.08,0.04,9
1.4,-0.15,9.29,0.02,0.13,-0.03,9
1.66,-0.1,9.17,0.05,-0.03,0.01,9
1.42,0.05,9.26,0.01,0.16,0.02,9
1.08,-0.28,9.52,-0.02,0.03,-0.08,9
1.29,-0.14,8.88,0.01,0.12,-0.04,9
1.08,-0.13,9.29,0.04,0.0,-0.1,9
1.45,-0.06,9.03,0.03,0.06,-0.05,9
1.27,-0.02,9.44,0.06,-0.04,-0.07,9
1.48,-0.04,9.28,0.01,0.02,-0.06,9
1.36,0.06,9.17,0.04,0.0,-0.05,9
1.43,0.14,9.28,-0.01,0.18,-0.1,9
1.45,0.04,8.52,0.05,0.25,-0.06,9
0.73,-0.02,9.24,0.25,0.14,-0.06,9
1.11,0.27,10.13,-0.0,0.3,-0.13,9
0.86,0.19,8.98,0.01,0.09,-0.02,9
0.72,0.23,9.69,0.11,0.0,-0.03,9
0.68,0.34,9.12,0.09,0.13,-0.11,9
0.9,0.67,9.96,0.2,0.23,-0.23,9
1.33,0.99,11.32,0.12,0.91,-0.45,9
3.29,1.84,14.74,-0.43,1.63,-0.74,9
4.47,1.75,15.1,-1.71,2.64,-0.52,9
2.75,1.92,14.22,-2.36,2.25,-0.05,9
1.98,2.27,13.41,-3.02,1.68,0.46,9
0.53,2.65,11.06,-3.64,1.59,0.87,9
-1.18,2.64,8.79,-4.34,1.69,1.02,9
-2.55,2.68,5.16,-5.05,2.05,1.23,9
-5.97,0.88,-0.76,-5.35,2.35,1.06,9
-10.07,-1.05,-8.08,-5.23,3.34,0.31,9
-6.98,-3.0,-10.81,-2.44,-0.19,-0.13,9
-7.8,-4.41,-9.08,-1.75,-0.2,0.21,9
-6.88,-5.42,-9.31,-0.59,-0.44,-0.03,9
-6.32,-6.36,-6.92,-0.1,-0.21,0.23,9
0.74,0.32,9.76,-0.09,0.02,0.06,10
0.74,0.4,8.55,-0.06,0.05,0.02,10
0.99,0.34,9.24,0.07,0.01,0.08,10
0.74,0.13,9.24,0.01,-0.02,0.09,10
0.79,0.28,9.15,0.08,0.03,0.04,10
0.79,0.28,9.49,0.04,0.04,0.02,10
0.58,0.32,9.3,-0.01,-0.03,0.01,10
0.44,0.31,9.26,-0.0,0.02,-0.05,10
0.94,0.27,9.06,0.01,-0.0,-0.07,10
0.81,0.42,9.43,0.04,0.03,-0.03,10
0.69,0.43,9.22,-0.01,0.13,-0.04,10
0.59,0.28,9.33,-0.04,0.1,-0.01,10
0.91,0.44,9.39,0.04,0.26,-0.05,10
0.56,0.5,10.02,-0.04,0.23,-0.05,10
0.78,0.29,9.68,-0.19,0.26,0.01,10
-0.01,0.15,8.6,-0.17,0.32,0.03,10
-0.95,0.03,8.44,0.05,0.32,-0.09,10
-0.5,0.05,8.99,0.12,0.29,-0.21,10
-0.17,0.13,9.46,0.15,0.38,-0.22,10
0.54,0.33,10.41,-0.01,0.39,-0.11,10
0.24,0.65,11.04,0.02,0.23,-0.07,10
3.28,2.04,16.63,-0.66,0.52,-0.04,10
3.4,2.25,14.64,-1.99,1.21,0.27,10
4.07,2.8,13.93,-2.72,1.87,0.48,10
2.78,2.76,12.09,-3.46,1.77,0.9,10
0.66,2.21,9.57,-3.77,1.48,1.23,10
-1.02,1.74,7.71,-4.07,1.52,1.53,10
-4.1,1.29,4.59,-4.57,1.63,1.66,10
-5.02,0.94,0.06,-4.93,2.54,1.38,10
-7.62,-0.74,-5.86,-4.61,2.78,1.22,10
-8.81,-2.32,-9.03,-3.41,1.77,0.66,10
-8.45,-3.91,-10.97,-2.03,0.2,0.51,10
-9.57,-4.4,-8.98,-0.96,0.03,0.24,10
-7.72,-4.96,-7.92,-0.07,-0.33,-0.03,10
-7.69,-5.41,-4.46,0.24,-0.14,-0.04,10
-7.53,-5.73,-3.24,0.37,-0.15,-0.07,10
-7.46,-5.97,-1.7,0.42,-0.17,-0.01,10
0.7,0.23,9.23,0.01,-0.02,-0.07,11
0.93,0.29,9.35,-0.02,0.04,-0.08,11
0.91,0.2,9.19,-0.01,0.01,-0.01,11
0.56,0.26,9.22,0.05,-0.06,-0.0,11
0.75,0.25,9.65,-0.03,0.03,-0.05,11
0.72,0.15,8.71,-0.07,0.04,-0.02,11
0.71,0.28,9.4,0.06,-0.01,-0.05,11
0.85,0.28,9.3,-0.04,0.0,-0.01,11
0.69,0.31,9.01,0.03,-0.02,-0.03,11
0.78,0.26,9.33,-0.01,0.0,-0.01,11
0.44,0.28,9.22,0.02,-0.03,-0.01,11
0.72,0.19,9.28,-0.02,0.0,-0.04,11
0.62,0.34,9.26,0.07,-0.01,-0.08,11
0.84,0.45,9.27,0.06,0.04,-0.06,11
1.03,0.4,9.56,0.01,0.08,-0.01,11
0.37,0.26,9.09,-0.04,0.04,0.06,11
0.29,0.31,9.25,0.01,0.02,-0.05,11
0.85,0.34,9.09,0.0,-0.02,-0.03,11
0.46,0.53,9.46,0.04,0.03,-0.06,11
0.69,0.38,9.29,-0.02,0.12,-0.07,11
0.59,0.5,8.6,0.11,0.18,-0.15,11
1.22,1.58,9.83,0.48,0.58,-0.3,11
2.48,1.06,14.89,0.14,0.99,-0.23,11
2.78,2.44,17.05,-1.15,1.58,-0.37,11
4.92,3.15,15.5,-2.45,2.31,-0.26,11
4.06,3.73,14.16,-3.4,2.22,0.35,11
1.68,3.7,11.3,-4.03,1.93,0.94,11
-1.86,3.5,9.66,-4.64,2.32,1.0,11
-3.15,3.37,6.71,-5.23,1.89,0.78,11
-5.7,2.2,0.05,-5.74,1.98,0.95,11
-8.22,-0.24,-6.18,-5.27,2.13,0.08,11
-6.78,-2.82,-11.61,-3.64,0.9,-0.14,11
-7.01,-4.51,-11.83,-2.01,-0.22,0.03,11
-7.66,-5.53,-9.67,-1.01,0.08,-0.2,11
-6.14,-6.32,-8.96,-0.2,-0.04,-0.04,11
-6.38,-6.91,-5.53,0.33,-0.04,-0.06,11
-5.61,-6.87,-2.87,0.53,-0.14,-0.07,11
1.27,-0.15,8.96,-0.19,-0.02,0.24,12
1.25,-0.34,9.07,-0.18,0.09,0.25,12
0.89,-0.51,8.77,-0.07,0.05,0.3,12
0.7,-0.68,8.74,0.05,0.12,0.21,12
0.86,-0.5,8.73,0.17,0.15,0.13,12
0.31,-0.39,10.16,0.2,0.07,-0.02,12
0.85,-0.03,9.67,0.14,-0.05,-0.05,12
0.75,0.09,9.53,0.01,-0.03,-0.03,12
0.89,-0.04,9.27,-0.03,0.07,-0.07,12
0.61,-0.15,9.25,-0.04,0.0,-0.01,12
0.46,-0.28,9.24,0.01,-0.0,-0.05,12
1.18,0.11,9.48,0.03,0.07,-0.22,12
1.12,0.06,9.37,-0.03,-0.06,-0.03,12
0.65,-0.03,9.08,0.02,-0.02,-0.02,12
0.69,0.06,9.27,0.02,0.05,-0.04,12
0.6,-0.0,9.46,-0.01,0.11,-0.05,12
0.63,-0.04,9.21,-0.06,0.15,-0.05,12
0.4,-0.03,9.28,-0.05,0.24,-0.1,12
0.08,0.05,9.67,-0.1,0.54,-0.22,12
0.44,-0.11,8.87,-0.04,1.13,-0.49,12
1.19,0.5,13.06,0.19,1.09,-0.55,12
2.54,1.94,16.96,-0.32,0.6,-0.29,12
3.29,2.26,16.73,-1.92,1.91,-0.01,12
2.83,2.05,12.67,-2.72,2.08,0.29,12
1.86,2.53,11.83,-2.91,1.58,0.68,12
1.82,3.47,12.1,-3.93,1.96,1.05,12
-1.31,3.62,6.92,-4.76,1.89,1.48,12
-4.39,2.75,4.14,-4.97,1.79,1.68,12
-6.69,2.92,-0.45,-5.73,1.94,1.59,12
-10.6,-0.36,-12.76,-4.81,1.83,1.03,12
-8.83,-2.52,-12.08,-2.73,0.29,0.27,12
-8.98,-3.93,-10.23,-1.48,0.27,0.1,12
-7.56,-4.77,-9.51,-0.85,0.58,-0.12,12
-7.01,-5.47,-6.13,0.16,-0.1,0.09,12
1.4,0.56,9.11,0.0,-0.03,-0.01,13
1.39,0.6,9.24,-0.01,0.03,-0.02,13
1.3,0.58,9.25,-0.0,0.0,-0.02,13
1.29,0.59,9.17,-0.01,-0.02,-0.02,13
1.34,0.58,9.24,-0.0,-0.03,-0.01,13
1.38,0.57,9.16,-0.01,0.01,-0.04,13
1.21,0.56,9.15,-0.01,-0.02,-0.04,13
1.46,0.6,9.31,-0.01,0.0,-0.06,13
1.39,0.6,9.12,-0.01,0.0,-0.03,13
1.2,0.54,9.21,-0.01,-0.01,-0.04,13
1.5,0.61,9.2,-0.01,0.01,-0.05,13
1.4,0.56,9.16,-0.01,0.04,-0.01,13
1.14,0.54,9.22,-0.0,0.02,-0.02,13
