ax,ay,az,gx,gy,gz,sequence_id
-1.16,-3.16,-6.99,-3.74,0.47,0.45,1
-0.13,-4.15,-8.6,-3.02,0.42,0.42,1
-0.94,-6.36,-13.13,-2.23,0.49,0.41,1
-1.45,-8.23,-14.8,-0.79,-0.22,0.28,1
-2.21,-8.81,-11.4,0.33,-0.22,0.09,1
1.8,0.43,9.51,0.08,-0.06,-0.13,2
1.92,0.44,9.24,0.01,-0.02,-0.07,2
1.7,0.44,9.21,0.0,0.01,-0.02,2
1.51,0.4,9.23,0.0,-0.02,-0.01,2
1.46,0.35,8.96,0.02,-0.02,-0.04,2
1.68,0.4,9.11,0.08,-0.04,-0.06,2
1.51,0.57,9.19,0.05,-0.0,-0.0,2
1.45,0.59,9.42,-0.01,-0.01,-0.05,2
1.74,0.54,9.09,-0.01,-0.03,-0.07,2
1.75,0.52,9.22,-0.01,-0.02,-0.04,2
1.72,0.48,9.07,0.0,0.02,-0.03,2
1.58,0.56,9.07,0.0,0.01,-0.0,2
1.59,0.54,9.27,0.0,-0.0,-0.02,2
1.62,0.53,9.18,-0.0,-0.01,-0.03,2
1.68,0.54,9.18,-0.02,-0.01,-0.02,2
1.59,0.55,9.1,0.01,0.02,-0.03,2
1.54,0.52,9.17,0.01,-0.01,-0.04,2
1.59,0.53,9.21,0.01,0.01,-0.07,2
1.77,0.59,9.12,0.0,0.03,-0.06,2
1.67,0.59,9.13,0.01,0.1,-0.05,2
1.74,0.68,9.43,-0.0,0.12,-0.02,2
1.26,0.54,9.0,-0.0,0.05,0.03,2
1.33,0.52,9.13,0.04,0.0,-0.02,2
1.33,0.5,9.43,0.05,0.05,-0.07,2
1.27,0.51,9.98,-0.08,0.14,-0.16,2
1.76,0.62,10.65,-0.16,0.96,-0.36,2
1.67,0.81,11.39,-0.59,0.91,-0.18,2
3.39,1.92,17.05,-0.05,-0.91,0.21,2
4.12,3.85,24.94,-1.59,-0.42,0.59,2
3.47,4.71,18.31,-3.54,-0.22,1.29,2
0.79,4.37,15.36,-4.25,-0.49,1.4,2
-0.58,4.66,12.12,-5.19,-0.84,1.3,2
0.03,4.09,5.56,-5.79,-0.45,1.18,2
0.53,3.29,1.52,-6.0,-0.29,1.25,2
-0.78,0.35,-5.02,-5.32,0.11,1.52,2
-2.13,-2.99,-6.84,-4.2,0.9,0.84,2
-1.19,-4.58,-7.07,-2.99,0.52,0.54,2
-0.14,-6.47,-8.61,-2.68,0.96,0.57,2
-0.78,-7.84,-11.54,-1.75,0.86,0.9,2
-2.88,-8.02,-13.36,-0.95,0.74,0.75,2
-3.11,-8.48,-9.95,0.72,-0.11,0.29,2
-3.05,-8.78,-5.3,0.97,-0.41,-0.25,2
0.58,-0.74,8.95,-0.01,-0.01,-0.01,3
0.93,-0.78,9.12,0.05,-0.09,-0.06,3
1.23,-0.66,9.16,0.08,-0.05,-0.08,3
1.4,-0.53,9.55,0.05,-0.03,-0.03,3
1.24,-0.53,9.26,-0.03,0.07,0.01,3
1.03,-0.65,9.28,-0.02,0.05,0.03,3
0.78,-0.74,9.2,-0.01,-0.03,0.0,3
0.91,-0.66,9.0,0.04,-0.04,-0.05,3
1.14,-0.54,9.41,0.04,-0.06,-0.05,3
1.2,-0.51,9.3,0.0,-0.02,-0.04,3
1.14,-0.57,9.26,-0.02,0.03,-0.03,3
1.0,-0.61,9.23,-0.02,0.02,-0.04,3
1.02,-0.58,9.26,-0.01,-0.01,-0.05,3
1.16,-0.64,9.21,-0.02,-0.02,-0.04,3
1.19,-0.63,9.06,0.01,-0.02,-0.03,3
1.12,-0.58,9.31,0.0,0.01,-0.01,3
1.02,-0.56,9.14,0.0,-0.01,-0.01,3
1.08,-0.56,9.3,-0.0,-0.01,-0.02,3
1.12,-0.6,9.15,-0.0,-0.01,-0.03,3
1.11,-0.57,9.22,0.01,-0.0,-0.03,3
1.14,-0.51,9.3,-0.02,0.03,-0.03,3
0.99,-0.65,9.08,-0.0,0.0,-0.03,3
1.03,-0.81,9.18,0.03,-0.05,-0.05,3
1.05,-0.6,9.04,0.09,-0.14,-0.05,3
-0.17,-0.43,10.44,0.12,-0.05,-0.2,3
1.54,-0.37,11.1,-0.38,0.69,-0.75,3
3.07,-0.41,11.84,-0.34,0.19,-0.16,3
2.77,-0.29,16.84,-0.18,-0.95,0.16,3
2.84,1.37,20.19,-1.53,-0.45,0.37,3
2.73,2.27,18.21,-2.63,-0.65,0.71,3
0.19,3.47,17.89,-3.91,-0.84,0.74,3
1.14,3.26,11.07,-5.18,-0.75,0.75,3
0.06,2.02,6.05,-5.49,-0.75,1.04,3
-0.2,0.65,2.03,-5.41,-0.12,0.96,3
1.86,-0.56,-2.63,-5.19,0.73,1.0,3
0.91,-2.72,-6.14,-4.35,0.7,0.99,3
1.14,-4.87,-10.89,-3.3,0.59,0.83,3
0.64,-6.54,-10.75,-2.0,0.47,0.84,3
-0.2,-7.92,-11.87,-1.13,0.34,0.81,3
-2.32,-8.72,-10.79,-0.13,0.2,0.49,3
-1.71,-8.96,-7.41,0.52,-0.1,0.03,3
-1.05,-9.12,-3.45,0.73,-0.16,-0.19,3
2.09,-0.38,9.04,-0.0,0.0,0.0,4
2.04,-0.36,9.14,-0.0,-0.01,-0.02,4
2.17,-0.31,9.16,-0.01,0.0,-0.03,4
2.17,-0.34,9.17,0.0,-0.0,-0.02,4
2.13,-0.33,9.12,-0.01,0.01,-0.01,4
2.1,-0.36,9.13,-0.0,0.03,-0.02,4
2.01,-0.38,9.06,0.01,-0.03,-0.01,4
2.14,-0.27,9.26,0.01,-0.01,-0.03,4
2.18,-0.3,9.17,-0.01,-0.02,-0.02,4
2.1,-0.34,9.07,-0.01,0.02,-0.03,4
2.07,-0.31,9.14,-0.01,0.01,-0.03,4
2.11,-0.32,9.15,0.0,-0.01,-0.03,4
2.18,-0.31,9.13,-0.01,-0.01,-0.02,4
2.14,-0.31,9.17,-0.0,0.0,-0.01,4
2.06,-0.32,9.16,-0.0,-0.01,-0.01,4
2.13,-0.33,9.14,0.0,-0.01,-0.03,4
2.13,-0.3,9.2,-0.01,-0.0,-0.01,4
2.09,-0.31,9.16,-0.02,0.0,-0.02,4
2.14,-0.33,9.1,-0.06,0.05,-0.04,4
2.08,-0.35,9.1,-0.02,0.0,-0.01,4
1.99,-0.35,9.17,-0.03,0.01,-0.04,4
2.16,-0.33,9.1,-0.01,0.01,-0.03,4
2.12,-0.37,9.12,0.01,-0.01,-0.01,4
2.02,-0.36,9.17,0.01,-0.01,-0.02,4
2.04,-0.36,9.13,0.01,-0.03,-0.02,4
2.12,-0.33,9.18,-0.01,-0.02,-0.03,4
2.04,-0.3,9.09,0.01,-0.04,-0.02,4
1.56,-0.64,8.96,0.03,-0.18,-0.01,4
1.28,-0.25,9.49,0.13,-0.22,-0.28,4
2.63,-0.27,13.12,-0.13,0.87,-0.64,4
5.2,1.25,19.12,-0.17,-0.5,-0.37,4
6.51,2.72,22.29,-1.91,-0.12,0.66,4
4.18,2.89,18.43,-3.2,0.26,1.12,4
2.39,3.76,16.6,-4.13,-0.36,1.2,4
1.51,4.5,12.87,-5.43,-0.06,1.18,4
0.77,5.43,8.52,-6.53,0.31,0.81,4
1.98,4.15,-2.27,-6.76,0.64,1.1,4
0.69,0.41,-7.79,-5.53,1.02,1.04,4
0.47,-2.37,-9.03,-4.0,1.16,0.65,4
0.56,-4.12,-9.38,-2.83,0.25,0.57,4
1.14,-5.64,-10.7,-2.36,1.1,0.6,4
-1.76,-7.86,-15.11,-1.13,0.36,0.79,4
-3.07,-8.14,-12.1,0.15,0.05,0.24,4
-2.15,-8.9,-7.68,0.78,-0.24,-0.08,4
-1.85,-9.57,-3.04,0.91,-0.42,-0.29,4
-0.85,-9.66,-0.96,0.41,-0.4,-0.37,4
0.3,-9.49,-2.46,0.03,-0.1,-0.27,4
0.08,-9.34,-3.85,-0.11,-0.05,-0.09,4
2.39,0.33,9.0,0.03,-0.03,-0.05,5
2.77,0.35,9.12,0.02,-0.03,-0.06,5
2.74,0.36,9.08,0.02,-0.03,-0.02,5
2.69,0.39,9.22,-0.03,0.01,-0.02,5
2.65,0.3,8.94,-0.01,0.0,-0.02,5
2.58,0.34,8.98,0.01,-0.02,-0.02,5
2.78,0.38,9.16,-0.01,-0.0,-0.02,5
2.63,0.34,8.88,-0.01,-0.01,0.01,5
2.54,0.36,9.15,0.0,-0.02,-0.03,5
2.74,0.38,8.94,-0.01,-0.01,-0.02,5
2.57,0.36,9.08,0.0,-0.01,-0.02,5
2.66,0.38,9.01,-0.02,-0.01,-0.03,5
2.77,0.32,9.06,0.01,-0.02,-0.01,5
2.75,0.38,9.09,-0.01,0.0,-0.02,5
2.6,0.31,8.94,-0.0,-0.01,-0.0,5
2.57,0.36,9.07,0.01,-0.02,-0.03,5
2.71,0.38,8.89,0.03,-0.03,-0.03,5
2.72,0.39,9.25,0.03,-0.03,-0.02,5
2.8,0.43,9.09,-0.02,-0.0,-0.01,5
2.62,0.39,8.99,-0.03,-0.0,0.0,5
2.6,0.38,8.97,0.01,-0.03,-0.02,5
2.89,0.45,9.06,0.01,-0.05,-0.01,5
2.89,0.5,9.18,0.01,-0.11,0.07,5
2.57,0.16,8.82,-0.01,-0.08,0.06,5
2.43,0.28,8.71,0.08,-0.04,-0.01,5
3.1,0.51,9.62,0.03,0.12,-0.07,5
3.81,0.74,10.35,-0.16,0.34,0.2,5
4.06,1.04,12.54,-0.67,1.53,-0.08,5
4.11,1.15,16.98,-0.67,0.31,0.37,5
4.47,2.44,21.49,-1.32,-0.42,0.58,5
5.1,3.83,20.55,-2.85,-0.42,1.06,5
3.07,5.52,19.8,-4.25,-0.53,1.49,5
3.01,7.48,15.78,-6.03,-0.79,1.49,5
2.16,8.37,7.95,-7.41,-0.19,1.91,5
0.54,4.42,-6.7,-7.15,1.7,2.02,5
-3.15,-0.18,-8.61,-4.58,-0.04,1.43,5
-0.17,-0.49,-5.4,-3.93,0.18,0.94,5
-0.87,-3.18,-12.49,-3.23,0.46,1.17,5
-3.09,-5.96,-15.72,-1.86,0.54,0.86,5
-4.03,-7.21,-15.46,-0.2,-0.34,0.54,5
-3.82,-8.61,-10.25,1.09,-0.31,-0.04,5
-2.65,-8.99,-2.92,1.18,-0.12,-0.36,5
-1.14,-9.62,-0.18,0.75,-0.24,-0.43,5
-1.02,-9.58,-0.1,0.18,-0.25,-0.27,5
1.91,-0.39,9.13,-0.03,0.01,0.01,6
1.95,-0.34,9.13,-0.01,0.0,0.01,6
1.9,-0.34,9.13,-0.01,0.01,0.01,6
1.9,-0.33,9.19,-0.01,0.01,0.01,6
1.82,-0.4,9.14,0.0,0.0,-0.02,6
1.94,-0.37,9.13,0.01,-0.03,-0.03,6
1.89,-0.36,9.21,0.01,-0.04,-0.02,6
2.02,-0.3,9.22,0.01,-0.03,-0.03,6
1.91,-0.32,9.06,-0.01,-0.03,-0.02,6
2.0,-0.29,9.2,-0.0,-0.01,-0.03,6
1.93,-0.33,9.15,0.0,-0.02,-0.02,6
2.0,-0.29,9.19,-0.01,-0.0,-0.02,6
1.95,-0.33,9.17,-0.01,-0.0,-0.02,6
1.93,-0.29,9.19,-0.01,-0.0,-0.02,6
1.99,-0.3,9.14,-0.0,-0.0,-0.02,6
1.94,-0.32,9.18,0.0,0.0,-0.02,6
1.89,-0.32,9.11,0.02,-0.03,-0.02,6
2.0,-0.3,9.19,0.0,-0.01,-0.02,6
1.94,-0.27,9.3,-0.0,-0.01,-0.02,6
2.0,-0.26,9.06,-0.0,-0.01,-0.01,6
1.96,-0.29,9.18,-0.02,-0.0,-0.02,6
1.96,-0.28,9.21,-0.0,-0.01,-0.02,6
2.02,-0.27,9.15,-0.01,0.0,-0.03,6
1.96,-0.3,9.18,-0.01,-0.01,-0.02,6
1.99,-0.29,9.16,-0.01,-0.03,-0.01,6
1.91,-0.24,9.21,0.0,-0.01,-0.02,6
2.03,-0.35,9.14,-0.0,-0.01,-0.04,6
1.98,-0.26,9.12,-0.0,-0.03,-0.02,6
2.03,-0.27,9.17,-0.0,-0.01,-0.02,6
2.0,-0.32,9.32,-0.01,-0.02,-0.01,6
1.78,-0.37,9.13,0.0,-0.1,-0.05,6
1.66,-0.15,11.63,-0.01,-0.08,-0.18,6
2.83,-0.89,13.8,-0.39,0.36,-0.57,6
7.59,1.71,22.59,-0.88,-1.13,0.0,6
6.48,2.77,21.61,-2.59,-0.36,0.84,6
4.38,3.9,18.05,-4.07,0.07,1.31,6
2.18,4.42,14.45,-4.8,-0.62,1.39,6
1.64,4.21,8.6,-5.47,-0.24,1.28,6
2.23,3.98,5.65,-5.66,-0.14,1.34,6
0.24,2.71,-1.21,-6.04,1.39,1.39,6
-1.35,-0.04,-5.12,-5.22,0.58,0.95,6
0.42,-1.69,-9.83,-4.5,1.15,0.41,6
-0.48,-3.87,-14.12,-3.14,0.01,0.46,6
-0.96,-5.97,-19.01,-1.6,-0.19,0.35,6
-2.3,-7.24,-16.01,0.26,-0.3,0.33,6
-1.97,-8.31,-8.03,1.37,-0.41,-0.15,6
-0.15,-8.6,-1.5,1.25,-0.41,-0.33,6
1.25,-0.85,9.04,-0.02,-0.01,-0.04,7
1.26,-0.89,9.31,0.01,-0.02,-0.0,7
1.18,-0.88,9.38,-0.01,-0.0,0.01,7
1.06,-0.89,9.23,-0.03,0.0,-0.0,7
1.08,-0.96,9.11,-0.02,0.01,-0.02,7
1.09,-0.93,9.19,0.0,-0.01,-0.03,7
1.19,-0.91,9.17,0.01,-0.03,-0.03,7
1.23,-0.93,9.12,0.02,-0.03,-0.02,7
1.18,-0.9,9.05,0.03,-0.03,-0.01,7
1.1,-0.93,9.16,0.04,0.01,-0.04,7
1.1,-0.85,9.19,0.05,0.02,-0.06,7
1.14,-0.79,9.29,0.06,-0.02,-0.06,7
1.33,-0.78,9.27,0.04,-0.02,-0.05,7
1.34,-0.73,9.28,0.03,-0.02,-0.01,7
1.23,-0.78,9.2,0.02,0.0,0.01,7
1.13,-0.73,9.33,0.02,-0.01,0.01,7
1.11,-0.76,9.14,-0.0,-0.01,-0.0,7
1.18,-0.73,9.29,0.01,-0.01,-0.02,7
1.2,-0.76,9.18,-0.0,-0.01,-0.01,7
1.14,-0.74,9.24,0.0,-0.01,-0.01,7
1.19,-0.75,9.22,-0.0,-0.01,-0.02,7
1.18,-0.69,9.23,-0.0,-0.0,-0.02,7
1.19,-0.74,9.23,-0.01,0.0,-0.03,7
1.19,-0.72,9.2,-0.01,-0.0,-0.03,7
1.22,-0.66,9.3,-0.03,0.1,-0.05,7
0.88,-0.78,9.21,-0.06,0.01,-0.03,7
0.88,-0.96,8.94,0.01,-0.06,-0.1,7
1.3,-0.67,9.68,0.02,-0.28,-0.07,7
1.22,-0.84,9.63,-0.02,-0.17,-0.04,7
1.53,-0.52,11.71,-0.27,0.12,-0.26,7
3.98,-0.63,15.44,-0.51,0.12,-0.01,7
2.52,-0.05,19.76,-1.15,-0.24,0.41,7
3.58,0.53,19.43,-2.44,-0.1,0.65,7
1.86,1.12,16.56,-3.45,0.33,0.72,7
0.52,2.47,14.84,-4.3,0.18,0.5,7
1.75,4.58,12.92,-5.55,-0.39,0.35,7
1.73,4.87,3.66,-6.64,1.16,0.43,7
0.34,1.76,-4.27,-6.06,0.67,0.47,7
-0.37,-1.89,-8.54,-4.43,0.25,0.42,7
-0.11,-3.52,-8.64,-3.31,0.27,0.26,7
-0.1,-5.53,-10.58,-2.52,0.18,0.2,7
0.03,-6.73,-14.68,-1.8,0.64,0.3,7
-2.69,-8.92,-15.81,0.01,-0.29,0.15,7
-1.98,-8.75,-7.2,1.17,-0.44,-0.36,7
-0.39,-9.3,-2.65,1.05,-0.22,-0.55,7
0.96,-9.63,-0.79,0.64,-0.16,-0.38,7
1.04,-9.8,-0.42,0.18,-0.06,-0.17,7
1.03,-9.83,-2.66,-0.17,0.05,-0.03,7
0.19,-9.63,-3.83,-0.09,-0.02,0.14,7
2.6,-0.3,9.28,0.1,-0.14,-0.37,8
3.02,-0.21,9.15,0.07,-0.01,-0.27,8
3.01,-0.17,9.38,0.07,-0.08,-0.07,8
2.58,-0.26,9.38,-0.01,-0.01,0.04,8
2.07,-0.45,9.09,-0.01,-0.0,0.03,8
2.1,-0.45,8.89,0.05,-0.04,-0.02,8
2.19,-0.31,9.42,0.05,-0.05,-0.06,8
2.23,-0.36,9.06,-0.02,0.0,-0.05,8
2.29,-0.37,9.16,0.01,-0.01,-0.06,8
2.23,-0.34,9.24,-0.07,0.05,-0.07,8
2.14,-0.43,8.82,-0.02,0.03,-0.08,8
2.18,-0.41,9.01,0.05,-0.01,-0.09,8
2.4,-0.23,9.57,0.02,-0.07,-0.06,8
2.46,-0.29,8.86,-0.01,0.01,-0.02,8
2.22,-0.3,9.17,0.03,-0.02,0.01,8
2.07,-0.36,9.09,0.03,-0.01,-0.02,8
2.18,-0.34,9.19,0.02,-0.03,-0.04,8
2.59,-0.29,9.18,-0.01,0.04,-0.05,8
2.11,-0.29,9.06,-0.02,0.02,0.02,8
2.34,-0.31,9.22,-0.02,0.11,-0.03,8
1.9,-0.37,9.14,0.0,0.08,0.01,8
1.57,-0.36,9.2,0.01,0.09,-0.14,8
2.39,-0.7,9.06,0.01,0.24,-0.1,8
0.74,-1.18,10.37,0.17,1.06,-0.77,8
5.2,-0.01,17.81,0.12,0.0,-0.39,8
3.41,1.83,22.26,-0.86,-0.76,0.5,8
3.76,3.83,23.25,-2.86,-0.4,0.59,8
3.2,4.92,17.89,-4.27,-0.46,0.79,8
1.6,5.88,14.03,-5.36,-0.3,0.95,8
1.87,4.77,7.36,-5.74,-0.15,0.9,8
2.0,3.92,2.38,-5.82,-0.36,1.29,8
-0.39,1.61,-5.08,-5.35,-0.31,1.57,8
-0.93,-2.16,-7.37,-4.04,0.81,1.11,8
-0.75,-4.49,-9.0,-2.88,0.0,0.76,8
-1.28,-6.74,-10.51,-1.92,0.33,0.53,8
-1.9,-8.56,-11.02,-1.16,0.4,0.46,8
2.02,-0.54,9.19,0.02,0.04,0.03,9
2.18,-0.46,9.15,0.0,0.03,-0.0,9
2.26,-0.38,9.15,0.01,-0.02,0.02,9
2.23,-0.41,9.11,-0.0,0.02,0.03,9
2.16,-0.48,9.08,-0.0,0.02,0.03,9
2.07,-0.47,9.14,0.0,0.02,0.0,9
2.18,-0.5,9.17,0.0,0.01,-0.01,9
2.13,-0.37,9.32,-0.0,0.0,-0.02,9
2.07,-0.46,9.06,-0.01,-0.01,-0.02,9
2.15,-0.43,9.2,-0.0,-0.02,-0.04,9
2.19,-0.43,9.08,-0.0,0.01,-0.0,9
2.14,-0.45,9.2,-0.01,0.01,-0.01,9
2.18,-0.44,9.08,0.0,-0.0,-0.01,9
2.17,-0.43,9.16,0.0,-0.0,-0.01,9
2.17,-0.43,9.14,-0.01,0.01,-0.01,9
2.09,-0.39,9.13,0.0,-0.01,-0.0,9
2.1,-0.44,9.15,-0.01,-0.01,-0.02,9
2.13,-0.46,9.12,0.01,-0.04,-0.03,9
2.38,-0.45,9.08,-0.0,0.0,-0.03,9
2.59,-0.63,9.12,-0.02,0.16,-0.01,9
2.35,-0.35,9.01,-0.03,0.35,0.04,9
1.67,-0.85,9.2,-0.01,0.1,0.11,9
0.78,-0.53,9.67,0.11,-0.19,-0.04,9
3.75,-0.07,12.29,0.01,0.42,-0.27,9
4.04,1.07,21.66,-0.14,-1.21,0.04,9
6.13,2.03,21.31,-2.17,0.01,0.53,9
4.21,2.87,18.07,-3.45,0.03,0.99,9
2.56,3.61,15.71,-4.32,-0.47,1.06,9
2.01,3.94,11.11,-5.12,-0.57,1.23,9
2.07,3.4,5.71,-5.79,0.37,1.21,9
0.66,1.27,-1.21,-5.58,0.71,1.26,9
-0.26,-1.38,-3.96,-4.69,0.72,0.96,9
-0.13,-3.58,-7.24,-3.64,0.56,0.59,9
0.33,-5.2,-8.17,-2.84,0.7,0.54,9
-1.24,-7.18,-10.77,-2.06,0.44,0.51,9
1.87,-0.49,9.21,-0.03,-0.02,0.0,10
1.77,-0.56,9.2,-0.04,0.05,0.01,10
1.62,-0.55,9.27,-0.04,0.05,0.0,10
1.72,-0.53,9.33,-0.09,0.0,0.04,10
1.6,-0.71,8.71,-0.08,0.08,0.02,10
1.46,-0.71,9.28,0.01,-0.05,-0.02,10
1.63,-0.64,9.06,0.01,-0.01,-0.04,10
1.71,-0.62,9.17,0.04,-0.04,-0.02,10
1.59,-0.58,9.38,0.01,0.01,-0.03,10
1.64,-0.58,9.24,-0.02,0.02,-0.03,10
1.6,-0.6,9.17,-0.01,0.0,-0.02,10
1.65,-0.62,9.32,-0.03,0.04,-0.03,10
1.64,-0.64,9.09,0.02,-0.01,-0.03,10
1.64,-0.59,9.21,0.02,-0.03,-0.01,10
1.59,-0.61,9.05,0.05,-0.05,-0.01,10
1.51,-0.57,9.38,0.05,-0.04,-0.03,10
1.72,-0.52,9.16,0.01,-0.03,-0.03,10
1.67,-0.53,9.26,0.02,-0.02,-0.02,10
1.7,-0.51,9.18,-0.0,-0.01,-0.01,10
1.59,-0.54,9.21,0.0,-0.01,-0.02,10
1.7,-0.52,9.18,-0.01,-0.01,-0.01,10
1.61,-0.51,9.19,0.0,-0.01,-0.02,10
1.74,-0.51,9.18,-0.01,-0.01,-0.02,10
1.71,-0.52,9.22,0.0,-0.01,0.0,10
1.76,-0.51,9.15,0.02,-0.0,0.03,10
1.54,-0.52,9.19,0.01,0.04,0.0,10
1.57,-0.6,9.23,0.01,0.05,-0.02,10
1.67,-0.59,9.04,0.01,0.02,-0.01,10
1.57,-0.4,10.3,0.05,-0.4,0.09,10
1.81,-0.6,9.38,-0.01,-0.5,0.17,10
2.04,-0.2,13.55,-0.48,0.31,-0.18,10
3.32,-0.66,16.85,-0.56,-0.69,-0.13,10
4.84,1.31,22.37,-1.86,-0.36,0.16,10
5.1,2.57,19.2,-3.49,-0.12,0.48,10
3.61,3.9,17.03,-4.57,-0.32,0.73,10
3.71,3.99,10.81,-5.72,0.31,0.83,10
1.92,3.18,5.38,-5.91,0.51,1.05,10
1.27,1.86,-0.76,-5.9,0.87,0.91,10
0.4,-0.44,-5.67,-4.96,1.01,0.71,10
0.4,-2.7,-8.97,-3.8,0.31,0.44,10
-0.37,-4.73,-9.47,-2.68,0.13,0.44,10
-0.56,-6.74,-12.0,-1.77,-0.18,0.35,10
-0.7,-7.95,-11.71,-0.94,0.41,0.3,10
1.88,-0.58,9.12,-0.03,0.01,-0.01,11
1.71,-0.59,9.17,-0.02,0.0,-0.01,11
1.7,-0.64,9.11,-0.01,-0.01,-0.02,11
1.73,-0.6,9.23,-0.01,-0.01,-0.04,11
1.79,-0.62,9.06,-0.01,-0.01,-0.03,11
1.68,-0.64,9.22,0.01,-0.03,-0.05,11
1.79,-0.64,9.12,0.01,-0.04,-0.05,11
1.86,-0.6,9.12,0.02,-0.03,-0.05,11
1.89,-0.54,9.33,-0.04,-0.02,-0.04,11
1.81,-0.6,8.89,-0.01,0.0,-0.05,11
1.84,-0.61,9.23,0.03,-0.03,-0.04,11
1.89,-0.53,9.24,0.01,-0.02,-0.04,11
1.88,-0.52,9.39,0.0,-0.04,-0.03,11
1.82,-0.57,9.06,0.03,-0.04,-0.03,11
1.83,-0.52,9.31,0.03,-0.05,-0.04,11
1.95,-0.49,9.21,-0.02,-0.02,-0.05,11
2.06,-0.5,9.12,0.0,-0.0,-0.03,11
1.93,-0.49,9.24,-0.0,-0.01,-0.0,11
1.82,-0.56,9.14,-0.01,0.01,-0.01,11
1.9,-0.54,9.08,-0.0,-0.01,-0.02,11
1.91,-0.53,9.2,0.02,-0.02,-0.02,11
1.9,-0.48,9.13,0.02,-0.02,-0.02,11
1.93,-0.49,9.13,0.02,-0.02,-0.02,11
1.9,-0.49,9.12,0.03,-0.02,-0.02,11
1.94,-0.41,9.58,0.02,-0.05,-0.0,11
